Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Khi Em Lớn,"Orange, Hoàng Dũng",Khi Em Lớn,5k4b9vDNNCIB0k1703mPrU,5nD5PVXUkIpv0WcwfNFrgS,59,2021-04-20,228095,False,https://open.spotify.com/track/5nD5PVXUkIpv0WcwfNFrgS,0.593,0.263,7,-12.102,0,0.0384,0.918,1.04e-06,0.104,0.466,119.645
Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),"Emcee L (Da LAB), Da LAB, Badbies",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),5vJ5JDNypTPlAc5yv3du8s,5BTzf3doGTigDIYUFtbkI9,63,2020-12-29,234168,False,https://open.spotify.com/track/5BTzf3doGTigDIYUFtbkI9,0.494,0.395,6,-8.653,1,0.0301,0.887,1.43e-05,0.058,0.179,141.464
Mơ,Vũ Cát Tường,Mơ,57xAPI8kl43QolYkjfVdb2,2a5hng9yXtbjtTVVm9UviC,58,2016-01-01,262191,False,https://open.spotify.com/track/2a5hng9yXtbjtTVVm9UviC,0.556,0.413,9,-7.261,1,0.0791,0.908,3.38e-06,0.0924,0.191,113.086
Bật Nhạc Lên,"HIEUTHUHAI, Harmonie",Bật Nhạc Lên,0YuGAT79ULNpdxzxWVXHFH,0hiQvlWSSTr7n1kc1X2Lus,57,2020-06-12,200000,False,https://open.spotify.com/track/0hiQvlWSSTr7n1kc1X2Lus,0.726,0.619,11,-7.543,0,0.317,0.42,2.61e-05,0.268,0.384,89.23
Em Không Khóc (feat. Vũ Phụng Tiên),"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),5jDIXIxWf5W0uqPUuoKxZU,4N99EuIjwSSFFFMDfTeOLU,59,2022-03-28,269624,False,https://open.spotify.com/track/4N99EuIjwSSFFFMDfTeOLU,0.762,0.356,0,-15.763,1,0.361,0.873,1e-05,0.187,0.571,80.946
tình yêu chậm trễ,"MONSTAR, GREY D",Over The Moon,4bC0p7T5Wy2kqCuQ0uK4D7,6jcLKVmEKAQIXIVHJZ8vzS,60,2021-08-01,245333,False,https://open.spotify.com/track/6jcLKVmEKAQIXIVHJZ8vzS,0.372,0.335,9,-6.663,1,0.0286,0.869,0.0,0.114,0.387,179.56
Anh Đã Ổn Hơn,RPT MCK,99%,1vi1WySkgPGkbR8NnQzlXu,3YctJXK6kznnWl68TnYobN,63,2023-03-02,194006,False,https://open.spotify.com/track/3YctJXK6kznnWl68TnYobN,0.703,0.28,3,-9.56,1,0.0293,0.726,0.000282,0.118,0.338,141.892
"Anh Là Ai? (feat. Dick, DT & UMIE)","RAP VIỆT, Dick, DT Tập Rap, UMIE",Rap Việt Mùa 3 - Vòng 2,4YSxnHCean6ZAsYwB1V9nW,6HpkHTTwfVmSoopeloHqOp,49,2023-08-09,223784,False,https://open.spotify.com/track/6HpkHTTwfVmSoopeloHqOp,0.739,0.647,5,-8.563,1,0.244,0.125,0.0,0.285,0.634,147.896
Ánh Sao Và Bầu Trời,T.R.I,Ánh Sao Và Bầu Trời,1JLUfM3IFpFyBSyhNQWkYw,5iZHnufFUgATzrpGgH1K0W,62,2021-09-10,260571,False,https://open.spotify.com/track/5iZHnufFUgATzrpGgH1K0W,0.662,0.205,5,-14.005,0,0.0349,0.876,0.00354,0.109,0.268,139.911
Không Yêu Xin Đừng Nói - Piano Version,UMIE,Không Yêu Xin Đừng Nói (Piano Version),49dKGvpp3ix58fS46uVqOQ,0vkExWiBJSrfWnlMC7x48b,61,2022-01-22,244219,False,https://open.spotify.com/track/0vkExWiBJSrfWnlMC7x48b,0.699,0.375,11,-12.02,1,0.0384,0.773,0.000152,0.104,0.27,144.016
